title,description,authority,area_requirements,capacity_requirements,special_requirements,priority,cost_estimate,processing_time,requirement_id,category,importance,area_extracted,capacity_extracted,requires_gas,meat_related,delivery_related,outdoor_related,alcohol_related
"במבנה פשוט, כהגדרתו בתוספת הראשונה לתקנות המהנדסים והאדריכלים (רישוי וייחוד פעולות), התשכ""ז-1967 (להלן - תקנות ייחוד פעולות):","במבנה פשוט, כהגדרתו בתוספת הראשונה לתקנות המהנדסים והאדריכלים (רישוי וייחוד פעולות), התשכ""ז-1967 (להלן - תקנות ייחוד פעולות):","","","","",medium,"","",1,safety,low,"","",false,false,false,false,false
"ראש רשות הרישוי שבתחומה נמצא העסק, או עובד בכיר אחר מקרב  עובדיה שהוא הסמיך לעניין זה.","ראש רשות הרישוי שבתחומה נמצא העסק, או עובד בכיר אחר מקרב  עובדיה שהוא הסמיך לעניין זה.","המפקח הכללי של משטרת ישראל, או קצין משטרה בכיר אחר שהוא הסמיך לעניין זה.","","","",medium,"","",2,safety,low,"","",false,false,false,false,true
"השר להגנת הסביבה, השר לביטחון הפנים, שר העבודה, הרווחה והשירותים החברתיים, שר החקלאות ופיתוח הכפר או שר הבריאות, או מי שהם הסמיכו לתת אישור, לעניין עסק שקביעתו כטעון רישוי נעשתה בהתייעצות עמם, לשם הבטחת המטרות כאמור בסעיף 1 לחוק.","השר להגנת הסביבה, השר לביטחון הפנים, שר העבודה, הרווחה והשירותים החברתיים, שר החקלאות ופיתוח הכפר או שר הבריאות, או מי שהם הסמיכו לתת אישור, לעניין עסק שקביעתו כטעון רישוי נעשתה בהתייעצות עמם, לשם הבטחת המטרות כאמור בסעיף 1 לחוק.","","","","",medium,"","",6,bar,high,"","",false,false,false,false,true
"אם קיימים בעסק סוגי עסקים נוספים החייבים ברישוי לפי צו רישוי עסקים (עסקים טעוני רישוי), התשע""ג-2013, יחולו עליהם התנאים המסוימים לעסקים מסוגם, בין שהם מפורטים במפרט האחיד ובין שאינם מפורטים בו, והאמור בתנאים אלה לא יגרע מהם.","אם קיימים בעסק סוגי עסקים נוספים החייבים ברישוי לפי צו רישוי עסקים (עסקים טעוני רישוי), התשע""ג-2013, יחולו עליהם התנאים המסוימים לעסקים מסוגם, בין שהם מפורטים במפרט האחיד ובין שאינם מפורטים בו, והאמור בתנאים אלה לא יגרע מהם.","","","","",medium,"","",11,bar,low,"","",false,false,false,false,false
נותן אישור או רשות הרישוי רשאים להוסיף תנאים ברישיון לפי סעיף 7 לחוק.,נותן אישור או רשות הרישוי רשאים להוסיף תנאים ברישיון לפי סעיף 7 לחוק.,נותן אישור או רשות הרישוי רשאים להוסיף תנאים ברישיון לפי סעיף 7 לחוק.,"","","",medium,"","",13,bar,high,"","",false,false,false,false,false
"לגורם המוסמך לדון בהשגות מטעם נותן האישור, לפי טופס ההשגה, בתוך 30 ימים מיום קבלת הדרישה לפי המפרט האחיד. הנחיות לגבי אופן הגשת ההשגה מפורטות באתר. עותק של ההשגה יש להגיש לרשות הרישוי. עבור כל השגה יש לשלם אגרה בסך 323 ₪ (סכום המתעדכן מעת לעת). יודגש כי הגשת השגה אינה מתלה את תוקפה של החלטה, כל עוד לא החליט אחרת הגורם שהוגשה לו ההשגה.","לגורם המוסמך לדון בהשגות מטעם נותן האישור, לפי טופס ההשגה, בתוך 30 ימים מיום קבלת הדרישה לפי המפרט האחיד. הנחיות לגבי אופן הגשת ההשגה מפורטות באתר. עותק של ההשגה יש להגיש לרשות הרישוי. עבור כל השגה יש לשלם אגרה בסך 323 ₪ (סכום המתעדכן מעת לעת). יודגש כי הגשת השגה אינה מתלה את תוקפה של החלטה, כל עוד לא החליט אחרת הגורם שהוגשה לו ההשגה.","לגורם המוסמך לדון בהשגות מטעם נותן האישור, לפי טופס ההשגה, בתוך 30 ימים מיום קבלת הדרישה לפי המפרט האחיד. הנחיות לגבי אופן הגשת ההשגה מפורטות באתר. עותק של ההשגה יש להגיש לרשות הרישוי. עבור כל השגה יש לשלם אגרה בסך 323 ₪ (סכום המתעדכן מעת לעת). יודגש כי הגשת השגה אינה מתלה את תוקפה של החלטה, כל עוד לא החליט אחרת הגורם שהוגשה לו ההשגה.","","","",medium,"","",15,restaurant,low,"","",false,false,false,false,false
"מ- 50,000 ₪ ועד בכלל - באמצעות בלדרות מאובטחת המחזיקה ברישיון עסק לפי פריט 8.3 א' בצו רישוי עסקים.","מ- 50,000 ₪ ועד בכלל - באמצעות בלדרות מאובטחת המחזיקה ברישיון עסק לפי פריט 8.3 א' בצו רישוי עסקים.",פרק 4 - משרד הבריאות,"",200 מקומות,"",medium,"","",20,bar,low,"","",false,false,false,false,false
"תקנות רישוי עסקים) תנאי תברואה נאותים לבתי אוכל), התשמ""ג-1983.","תקנות רישוי עסקים) תנאי תברואה נאותים לבתי אוכל), התשמ""ג-1983.","המנהל - המנהל הכללי של משרד הבריאות (בפרק זה - המשרד), או מי שהסמיכו מבין עובדי המשרד.","","",ביב - צנרת הביוב המתחילה בתא הבקרה הראשון שמחוץ לבניין והמעבירה את השפכים מנקז הבניין לביב ציבורי או למערכת סילוק שפכים פרטית.;,medium,"","",21,restaurant,low,"","",false,false,false,false,false
"תקנות בתי אוכל - תקנות רישוי עסקים (תנאי תברואה נאותים לבתי אוכל), התשמ""ג-1983.","תקנות בתי אוכל - תקנות רישוי עסקים (תנאי תברואה נאותים לבתי אוכל), התשמ""ג-1983.","","","","",medium,"","",22,restaurant,low,"","",false,false,false,false,false
"בעל העסק ישמור את התוצאות, הנתונים, האישורים והמסמכים כלהלן לתקופה של חמש שנים ויעבירם לרשות הבריאות לפי דרישה:","בעל העסק ישמור את התוצאות, הנתונים, האישורים והמסמכים כלהלן לתקופה של חמש שנים ויעבירם לרשות הבריאות לפי דרישה:",לעסק יסופקו מי שתייה על ידי חיבור למערכת אספקת מים או למתקן הפקה שאושרו על ידי רשות הבריאות בלבד.,"","","",medium,"","",23,bar,low,"","",false,false,false,false,false
"הוראות אלה באות להוסיף על הוראות כל דין, לרבות הוראות לפי תקנות רישוי עסקים (תנאי תברואה נאותים לבתי אוכל), התשמ""ג-1983.","הוראות אלה באות להוסיף על הוראות כל דין, לרבות הוראות לפי תקנות רישוי עסקים (תנאי תברואה נאותים לבתי אוכל), התשמ""ג-1983.","","","","",medium,"","",25,restaurant,low,"","",false,false,false,false,false
"פתרון סילוק פסולת יהיה תואם לחלק ו' לתקנות התכנון והבנייה (בקשה להיתר, תנאיו ואגרות), התשס""ח-2008 - ""אצירת אשפה וסילוקה מבניין"", וימנע מטרדים סביבתיים ובריאותיים.","פתרון סילוק פסולת יהיה תואם לחלק ו' לתקנות התכנון והבנייה (בקשה להיתר, תנאיו ואגרות), התשס""ח-2008 - ""אצירת אשפה וסילוקה מבניין"", וימנע מטרדים סביבתיים ובריאותיים.",ראש שרות המזון וההזנה משרד הבריאות,"","","",medium,"","",26,bar,low,"","",false,false,false,false,true
* המדריך מתייחס רק לעסקים בעלי רישיון עסק בהתאם לתקנות רישוי עסקים ולמטבחים מוסדיים.,* המדריך מתייחס רק לעסקים בעלי רישיון עסק בהתאם לתקנות רישוי עסקים ולמטבחים מוסדיים.,"","","","",medium,"","",27,restaurant,low,"","",false,false,false,false,false
"* המדריך מבוסס על:  ערכת הדרכה לתברואת המזון של משרד הבריאות, צו פיקוח על מצרכים  ושרותים תקנות בריאות הציבור, תו תקן הישראלי ונספחיו, חוברת בשל / קרר, תקנות לבתי אוכל ותקנות לרישוי עסקים לייצור מזון ונספחיו, קובץ תקנות 2844 ונספחיו, תקנה בדבר ביצי מאכל,  תכנית הדרכה של משרד הבריאות ו / או HACCP (  Hazard analysis and critical control points ׂ (  ונוהל בדיקות עובדים בלשכות הבריאות.","* המדריך מבוסס על:  ערכת הדרכה לתברואת המזון של משרד הבריאות, צו פיקוח על מצרכים  ושרותים תקנות בריאות הציבור, תו תקן הישראלי ונספחיו, חוברת בשל / קרר, תקנות לבתי אוכל ותקנות לרישוי עסקים לייצור מזון ונספחיו, קובץ תקנות 2844 ונספחיו, תקנה בדבר ביצי מאכל,  תכנית הדרכה של משרד הבריאות ו / או HACCP (  Hazard analysis and critical control points ׂ (  ונוהל בדיקות עובדים בלשכות הבריאות.","* המדריך מבוסס על:  ערכת הדרכה לתברואת המזון של משרד הבריאות, צו פיקוח על מצרכים  ושרותים תקנות בריאות הציבור, תו תקן הישראלי ונספחיו, חוברת בשל / קרר, תקנות לבתי אוכל ותקנות לרישוי עסקים לייצור מזון ונספחיו, קובץ תקנות 2844 ונספחיו, תקנה בדבר ביצי מאכל,  תכנית הדרכה של משרד הבריאות ו / או HACCP (  Hazard analysis and critical control points ׂ (  ונוהל בדיקות עובדים בלשכות הבריאות.","","","1.5. מוצרים כגון בשר מבושל עם רוטב, סלטים עם רוטב, חומוס ומוצרי קונדיטוריה עם  קרמים  מהווים קרקע מזון רגישה במיוחד לגידול והתרבות חיידקים (על כן מוצר אמין הוא כזה הנשמר בקירור בעת הרכישה).; 1.7.2.  אספקת  בשר, עופות ודגים תהיה ממקור בעל רישיון יצרן.  לבשר ולדגים תהיה כל תעודה וטרינרית הנדרשת על-פי כל דין, והם יבדקו בבדיקות משנה כנדרש; 1.7.2.2. בשר, דגים, עוף יגיעו בלווי תעודות וטרינריות.;",medium,"","",28,restaurant,low,"","",false,false,false,false,false
"1.7.2.5 הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב– 1971;","1.7.2.5 הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב– 1971;","","","","1.7.2.5 הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב– 1971;;",medium,"","",29,bar,low,"","",false,true,false,false,false
מזון המגיע מוכן להגשה צריך להיות ממפעל בעל רישיון עסק ורישיון יצרן,מזון המגיע מוכן להגשה צריך להיות ממפעל בעל רישיון עסק ורישיון יצרן,"","","","",medium,"","",30,restaurant,low,"","",false,false,false,false,false
"תקנות רישוי עסקים  (תנאים תברואתיים להובלת בשר, דגים, עופות ומוצריהם,","תקנות רישוי עסקים  (תנאים תברואתיים להובלת בשר, דגים, עופות ומוצריהם,",2.7.1.4 משרד מחסנאי העוסק גם בקבלת המזון;,"","","תקנות רישוי עסקים  (תנאים תברואתיים להובלת בשר, דגים, עופות ומוצריהם,; על-ידי האחראי על קבלת המזון. את התוצאות יש להשוות עם מדידות  הטמפרטורה, לפי מד הטמפרטורה שהותקן ברכב. את הטמפרטורה יש לבדוק לפני פתיחת ארגז הרכב. את התוצאות יש לרשום ע""ג טופס המשלוח.; 1.11.9  האחראי יבדוק את מצב ניקיון ארגז הרכב, המשמש להובלת המזון.; אזור לאחסון המזון בתנאי אחסון וטמפרטורה המותאמים לסוג המזון, טיפול בבשר ודגים, הכנת מנות להגשה ואחזקתם עד להגשה (בחום או בקור),בישול, טיגון ואפייה, טיפול בהכנת; אם קיימת הכנה של מזון למשלוחים, יש להקצות אזור המיועד לכך. אם קיימת קיימת הכנה של מזון רגיש ביותר יש להקצות אזור, המיועד למטרה זו.; 2.2.3. טיפול נכון בהפשרה  נועד למנוע מהחיידקים, המצויים במזון להתרבות תוך כדי תהליך ההפשרה. יש לבצע את ההפשרה במקרר או במתקן ייעודי, בטמפרטורה מקסימלית של 10 מעלות צלזיוס  אין להפשיר במים או מחוץ למקרר. רצוי להשתמש במקררים המיועדים למטרה זו.; תחילה יש להוריד את שאריות המזון לאשפה  אחר כך יש לרחוץ אותם במים וסבון,; לגבי מטחנות בשר ומיקסרים יש להקפיד על ניקוי יסודי של כל החלקים כדרך למנוע; 2.6.2.3. יש לשמור על בגדי הבית במקום מיוחד, מחוץ לאזור המיועד לטיפול; 2.6.2.4. יש לרחוץ את הידיים לפני תחילת העבודה. ובשלבים שונים של; 2.6.2.6.  יש להקפיד על ציפורניים גזוזות וידיים ללא פצעים.; בשר בעלי כנף.; 2.7.1.5.8.2 בשר בהמות.; אזור טיפול והכנת בשר יכלול:; 2.7.2.1 חדר הקפאה ומקפיא ,שישמרו על המזון, בטמפרטורה של מינוס 18 מעלות צלסיוס מינימום וחדר קירור למזון בשרי.; 2.7.2.3 חדר ממוזג של פלוס 20 מעלות צלזיוס לטיפול והכנת בשר.; 2.7.2.4 מקרר עגלות לבשר בתהליך העיבוד (0 מעלות צלזיוס), לפי הצורך.; תהיה הפרדה מוחלטת בינו לבין אזור הכנת בשר בהמות ובשר בעלי כנף בכל;",medium,"","",32,bar,low,"","",false,true,false,false,false
לייעודו (תקנות לבתי אוכל ותקנות רישוי עסקים לייצור מזון נספח א').,לייעודו (תקנות לבתי אוכל ותקנות רישוי עסקים לייצור מזון נספח א').,"","","","2.7.2.6.3  על-מנת להגיע לתהליך הקירור הנדרש ,כמפורט למעלה, מומלץ לקרר את המזון החם בתבנית או מכלים, בהם גובה המזון לא יעלה על ; בנתחי 	בשר (גושי צלי למשל), הגובה לא יעלה על  ומשקל הגוש לא יעלה על ; בקירור עופות, מומלץ לחתוך לחצאים ולשים בתבניות הקירור, בשכבה אחת.; איזור להכנת ארוחות דיאטטיות חלבי/בשרי.; 2.7.2.9  אזורי הדחת כלי אוכל בשריים וכלי אוכל חלביים.; 3.7.1.4  הפשרת בשר, עופות ודגים גולמיים תעשה במכלים אוספי נוזלים,; 3.7.1.5.  הסרת האריזה מבשר, עופות ודגים גולמיים תעשה באזור שיועד לכך;; הכשרת בשר תעשה במים ,שהטמפרטורה שלהם אינה עולה על פלוס 7;",medium,"","",33,restaurant,low,"","",false,false,false,false,false
"תקנות רישוי עסקים (תנאים תברואתיים לעסקים לייצור מזון) התשל""ב 1972 (סימן י' הסעדה).","תקנות רישוי עסקים (תנאים תברואתיים לעסקים לייצור מזון) התשל""ב 1972 (סימן י' הסעדה).","","","","",medium,"","",35,bar,low,"","",false,false,false,false,false
"חוק רישוי עסקים – תנאי תברואה לבתי אוכל התשמ""ג 1983 ק.ת. 4528.","חוק רישוי עסקים – תנאי תברואה לבתי אוכל התשמ""ג 1983 ק.ת. 4528.","","","","",medium,"","",36,restaurant,high,"","",false,false,false,false,false
"כל פעולות ניהול ההדברה, לפי עקרונות ההדברה המשולבת (ניטור, מניעה והדברה), בעסקי המזון ירוכזו ע""י מדביר (אדם העוסק בהדברה בעל היתר הדברה מטעם המשרד לאיכות הסביבה) ובהנחייתו ובהתאם לתקנות רישוי עסקים (הדברת מזיקים) תשל""ה – 1975, להלן ""התקנות"".","כל פעולות ניהול ההדברה, לפי עקרונות ההדברה המשולבת (ניטור, מניעה והדברה), בעסקי המזון ירוכזו ע""י מדביר (אדם העוסק בהדברה בעל היתר הדברה מטעם המשרד לאיכות הסביבה) ובהנחייתו ובהתאם לתקנות רישוי עסקים (הדברת מזיקים) תשל""ה – 1975, להלן ""התקנות"".","כל פעולות ניהול ההדברה, לפי עקרונות ההדברה המשולבת (ניטור, מניעה והדברה), בעסקי המזון ירוכזו ע""י מדביר (אדם העוסק בהדברה בעל היתר הדברה מטעם המשרד לאיכות הסביבה) ובהנחייתו ובהתאם לתקנות רישוי עסקים (הדברת מזיקים) תשל""ה – 1975, להלן ""התקנות"".","","","",medium,"","",37,bar,low,"","",false,false,false,false,false
"פעולות האיוד (במסגרת פעולות ההדברה) יבוצעו ע""י מדביר בעל היתר לאיוד.","פעולות האיוד (במסגרת פעולות ההדברה) יבוצעו ע""י מדביר בעל היתר לאיוד.","בהדברה בעסקי מזון, יש להשתמש אך ורק בתכשירי הדברה המאושרים להדברה תברואתית ע""י המשרד לאיכות הסביבה.","","","",medium,"","",38,bar,low,"","",false,false,false,false,false
"13.      בנוסף ליומן ההדברה בעסק, יהיה בכל עסק גם תיק הדברה ,אשר יכלול את המידע הבא: שם המדביר וחברתו, כתובת, מספר טלפון, פקס וכד', העתקים של היתר ההדברה בתוקף, של רישיון העסק של המדביר, של היתר הרעלים, של תוויות חוקיות וגיליונות הבטיחות (MSDS) של תכשירי הדברה שנעשה בהם שימוש, מפת האתר עם ציון תחנות הנטור וההדברה, דוגמאות של תוויות אזהרה וכל חומר רלוונטי אחר – לפי חלטת המדביר והאחראי מטעם העסק.","13.      בנוסף ליומן ההדברה בעסק, יהיה בכל עסק גם תיק הדברה ,אשר יכלול את המידע הבא: שם המדביר וחברתו, כתובת, מספר טלפון, פקס וכד', העתקים של היתר ההדברה בתוקף, של רישיון העסק של המדביר, של היתר הרעלים, של תוויות חוקיות וגיליונות הבטיחות (MSDS) של תכשירי הדברה שנעשה בהם שימוש, מפת האתר עם ציון תחנות הנטור וההדברה, דוגמאות של תוויות אזהרה וכל חומר רלוונטי אחר – לפי חלטת המדביר והאחראי מטעם העסק.",ניתן למצוא את רשימת תכשירי ההדברה המאושרות להדברה תברואתית באתר המשרד להגנת הסביבה: www.sviva.gov.il,"","","בית אוכל  הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון;",medium,"","",40,bar,high,"","",false,false,true,false,false
"(א) רשיון עסק לפי תקנות רישוי עסקים (תנאים תברואיים לעסקים 		        לייצור מזון), התשל""ב-1972;","(א) רשיון עסק לפי תקנות רישוי עסקים (תנאים תברואיים לעסקים 		        לייצור מזון), התשל""ב-1972;","","","","9.3 אספקת  בשר, עופות ודגים תהיה ממקור בעל רשיון יצרן.  לבשר ולדגים יהיו כל תעודה וטרינרית הנדרשת לפי כל דין והם יבדקו בבדיקות משנה כנדרש על פי כל דין:; בשר, דגים, עוף יגיעו בלווי תעודות וטרנריות, בנוסף לאמור בסעיף 2(א) לעיל.;",medium,"","",49,bar,low,"","",false,false,false,false,false
"הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב - 1971;","הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב - 1971;","","","","הובלת בשר, עופות ודגים לעסק תהיה בהתאם לתקנות רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם), התשל""ב - 1971;; 9.4 בשר, בשר עופות, דגים ומוצריהם אלא אם כן הובלו לעסק בהתאם לתקנות;",medium,"","",50,bar,low,"","",false,true,false,false,false
"רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם),","רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם),","","","","רישוי עסקים (תנאים תברואיים להובלת בשר, דגים, עופות ומוצריהם),;",medium,"","",51,bar,low,"","",false,true,false,false,false
"בית אוכל - מסעדה לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8, והמיועד ל-50 איש לכל היותר ששטחו המבונה עד 150 מ""ר לרבות סגירת חורף ועונה על תנאי מסלול ""אישור על יסוד תצהיר"" בהתאם לצו רישוי עסקים (עסקים טעוני רישוי), התשע""ג-2013","בית אוכל - מסעדה לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8, והמיועד ל-50 איש לכל היותר ששטחו המבונה עד 150 מ""ר לרבות סגירת חורף ועונה על תנאי מסלול ""אישור על יסוד תצהיר"" בהתאם לצו רישוי עסקים (עסקים טעוני רישוי), התשע""ג-2013","חוק הרשות הארצית לכבאות והצלה, התשע""ב-2012, והתקנות על פיו.","150 מ""ר","","""גפ""מ"" - גז פחמימני מעובה כמשמעותו בתקן ישראל ת""י 158.; מערכת הגפ""מ המשמשת את העסק תענה לנדרש בתקן ישראלי ת""י 158, מתקנים לגזים פחמימניים מעובים, המסופקים בתוך מכלים מטלטלים.;",medium,"","",55,restaurant,low,"150 מ""ר","",false,false,true,false,true
"אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראל ת""י 158. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי תקנות הגז (בטיחות ברישוי) (רישוי עסקים עבודות בגפ""מ) תשס""ו-2006, אשר רשאי ליתן אישור כאמור, בהתאם לסוג רישיונו (זאת במידה וקיימת מערכת גז בעסק).","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראל ת""י 158. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי תקנות הגז (בטיחות ברישוי) (רישוי עסקים עבודות בגפ""מ) תשס""ו-2006, אשר רשאי ליתן אישור כאמור, בהתאם לסוג רישיונו (זאת במידה וקיימת מערכת גז בעסק).","חוק הרשות הארצית לכבאות והצלה, התשע""ב-2012.","","","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראל ת""י 158. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי תקנות הגז (בטיחות ברישוי) (רישוי עסקים עבודות בגפ""מ) תשס""ו-2006, אשר רשאי ליתן אישור כאמור, בהתאם לסוג רישיונו (זאת במידה וקיימת מערכת גז בעסק).;",medium,"","",56,bar,high,"","",true,false,false,false,false
"נספח תיאור אמצעים לבטיחות אש, כאמור בתקנה 11א לתקנות התכנון והבנייה. דרישה זו לא תחול על עסק ששטחו הכולל אינו עולה על 100 מ""ר, ושאינו מיועד להכיל מעל 50 איש או לאחסון חומרים מסוכנים. ניתן להגיש העתק מנספח תיאור אמצעים לבטיחות אש שצורפה לבקשה להיתר בנייה, ובלבד שיצורפו אליו כל אלה:","נספח תיאור אמצעים לבטיחות אש, כאמור בתקנה 11א לתקנות התכנון והבנייה. דרישה זו לא תחול על עסק ששטחו הכולל אינו עולה על 100 מ""ר, ושאינו מיועד להכיל מעל 50 איש או לאחסון חומרים מסוכנים. ניתן להגיש העתק מנספח תיאור אמצעים לבטיחות אש שצורפה לבקשה להיתר בנייה, ובלבד שיצורפו אליו כל אלה:","","100 מ""ר","","",medium,"","",60,safety,high,"100 מ""ר","",false,false,false,false,false
"בעל העסק יודיע לנותן האישור על כוונה לניתוק יזום של מערכות כיבוי אש על ידו, וזאת לכל הפחות שבעה ימים לפני היום שבו מתוכנן הניתוק; לעניין סעיף זה, ""מערכת כיבוי אש"" - אחת מהמערכות הבאות, אם מתקיימת לגביה חובה להתקינה על-פי דין: גלאים, מתיזים, גנרטור, מערכת על לחץ ושחרור עשן.","בעל העסק יודיע לנותן האישור על כוונה לניתוק יזום של מערכות כיבוי אש על ידו, וזאת לכל הפחות שבעה ימים לפני היום שבו מתוכנן הניתוק; לעניין סעיף זה, ""מערכת כיבוי אש"" - אחת מהמערכות הבאות, אם מתקיימת לגביה חובה להתקינה על-פי דין: גלאים, מתיזים, גנרטור, מערכת על לחץ ושחרור עשן.","","","","",medium,"","",62,safety,high,"","",false,false,true,false,true
"מבלי לגרוע מכלליות האמור בסעיפים 6.1.1 ו-6.5.2, אין בהוראות מפרט זה כדי לגרוע מהדרישות הקבועות בתקנות התכנון והבנייה לצורך קבלת היתר בנייה, כפי שחלו במועד שבו הוגשה הבקשה להיתר בנייה, ובכל מקום שבו ישנה התייחסות במפרט לדרישות הנוגעות לבטיחות אש בעסק, הן תבואנה בנוסף לדרישות תקנות אלו.","מבלי לגרוע מכלליות האמור בסעיפים 6.1.1 ו-6.5.2, אין בהוראות מפרט זה כדי לגרוע מהדרישות הקבועות בתקנות התכנון והבנייה לצורך קבלת היתר בנייה, כפי שחלו במועד שבו הוגשה הבקשה להיתר בנייה, ובכל מקום שבו ישנה התייחסות במפרט לדרישות הנוגעות לבטיחות אש בעסק, הן תבואנה בנוסף לדרישות תקנות אלו.","מערכת המתזים תתאים בכל עת לסיווג המבנה, ייעודו, מיקומו, לשטחו, השימוש בו ודרגת סיכון האש של חלקיו (כגון: אזור אחסנה, אזור משרדים, אזור מכירות וכו').","50 מ""ר",6 אנשים,"חומרי הציפוי והגימור שבהם ייעשה שימוש במבנה או במבנים, לרבות מבנים יבילים המשמשים את העסק יעמדו בתקן ישראלי ת""י 921 השימוש בחומרי בניה לפי תגובותיהם בשריפה. בדיקת אי דליקותם וסיווגם של החומרים תיערך בהתאם לתקן ישראלי ת""י 755 סיווג בשרפה של מוצרי בנייה ואלמנטי בניין - שיטות בדיקה וסיווג לפי תוצאות הבדיקה. לעניין סעיף זה, שימוש בחומרי ציפוי וגימור כולל הן שימוש הן פנימי והן שימוש חיצוני.; בעסק המיועד לאחסון חומרים מסוכנים, לייצורם או לשימוש בהם וגודלו עולה על20  מ""ר יהיו לפחות שני פתחי יציאה ברוחב של 0.9 מ' נטו לפחות כל אחד, כאשר דלת אחת לפחות תיפתח ישירות אל החוץ.; בעסק ששטחו הכולל מעל 800 מ""ר, יותקן חיבור הסנקת מים לברזי הכיבוי המתוקנים בעסק. ברז ההסנקה יוצב מחוץ לעסק, במרחק שלא יעלה על 6 מטרים מקצה העסק.;",medium,"","",63,safety,high,"","",false,false,false,false,false
"אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראלי ת""י 158, לרבות התייחסות לגלאי הגפ""מ. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי חוק הגז (בטיחות ורישוי), התשמ""ט-1988, אשר רשאי ליתן אישור כאמור בהתאם לסוג רישיונו.","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראלי ת""י 158, לרבות התייחסות לגלאי הגפ""מ. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי חוק הגז (בטיחות ורישוי), התשמ""ט-1988, אשר רשאי ליתן אישור כאמור בהתאם לסוג רישיונו.",את פרסומי הרשות הארצית לכבאות והצלה ניתן למצוא ולהוריד באתר הרשות הארצית לכבאות והצלה.,"","","אישור על בדיקת התאמתה ותקינותה של מערכת הגז לדרישות תקן ישראלי ת""י 158, לרבות התייחסות לגלאי הגפ""מ. האישור יינתן על-ידי בעל רישיון לעבודת גפ""מ לפי חוק הגז (בטיחות ורישוי), התשמ""ט-1988, אשר רשאי ליתן אישור כאמור בהתאם לסוג רישיונו.; אישור גורם מוסמך המעיד על כך שמערכת הכיבוי המותקנת בארון החשמל נבדקה ונמצאה תקינה, בהתאמה מלאה לתקן ישראלי ת""י 5210, מערכות לכיבוי אש בארוסול, או תקן ישראלי ת""י 1597, מערכות כיבוי אש אוטומטיות בגז כיבוי, בהתאם לסוג המערכת המותקנת.; 4.2 | בשר ודגים – אישור וטרינרי | מס' 3 | 8; מקפיא בשר/דגים | מקפיא  נקי; (לא בשרי) | מקרר ירקות | מקרר גלם חלבי; שטיפה וניקוי ירקות | עיבוד בשר/ דגים | בישול | הכנת סלטים | מטבח חלבי | שטיפת כלי עבודה;",medium,"","",65,safety,high,"","",true,false,false,false,false
